Dataset,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Delta-F1 Transfer Gap
TEST_A (Dec2019),0.36446469248291574,0.10033444816053512,0.75,0.17699115044247787,0.5512218045112782,0.11015315343449428,0.20157672964523582
TEST_B (Mar11),0.5733610822060354,0.6565217391304348,0.3132780082987552,0.4241573033707865,0.6211224109702961,0.6273743567713089,0.20157672964523582
HAI (Zero-shot),0.19288493607559756,0.07702100572883513,0.983739837398374,0.14285714285714285,0.7864907736189534,0.5148491792698158,0.20157672964523582
